id,value,group
101,0.28757752,Front
102,0.788305135,Front
103,0.408976922,Front
104,0.883017404,Front
105,0.940467284,Front
106,0.045556499,Front
107,0.528105488,Front
108,0.892419044,Front
109,0.551435014,Front
110,0.456614735,Front
111,0.956833345,Front
112,0.453334156,Front
113,0.677570635,Front
114,0.572633402,Front
115,0.102924683,Front
116,0.89982497,Front
117,0.246087734,Front
118,0.042059534,Front
119,0.327920719,Front
120,0.954503649,Front
121,0.889539316,Front
122,0.692803406,Front
123,0.640506814,Front
124,0.994269777,Front
125,0.655705799,Front
126,0.708530468,Front
127,0.544066025,Front
128,0.59414202,Front
129,0.289159737,Front
130,0.147113647,Front
131,0.963024233,Front
132,0.902299045,Front
133,0.690705278,Front
134,0.795467418,Front
135,0.024613685,Front
136,0.477795971,Front
201,0.758459538,Back
202,0.216407936,Back
203,0.318181008,Back
204,0.231625785,Back
205,0.142800022,Back
206,0.414546336,Back
207,0.413724326,Back
208,0.368845451,Back
209,0.152444748,Back
210,0.138806063,Back
211,0.233034099,Back
212,0.46596245,Back
213,0.26597264,Back
214,0.857827715,Back
215,0.045831167,Back
216,0.442200074,Back
217,0.798924846,Back
218,0.12189926,Back
219,0.560947984,Back
220,0.20653139,Back
221,0.12753165,Back
222,0.753307864,Back
223,0.895045359,Back
224,0.374462776,Back
225,0.665115195,Back
226,0.094840661,Back
227,0.383969638,Back
228,0.274383645,Back
229,0.814640039,Back
230,0.448516341,Back
231,0.810064353,Back
232,0.81238951,Back
233,0.794342321,Back
234,0.439831688,Back
235,0.754475159,Back
236,0.629221132,Back
237,0.710182401,Back
238,0.000624773,Back
